service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,service_name,case_record_type,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,iamfloc,floc
3295488,,40300397102,2021-03-27T16:37:00,12,Traffic Sign - Maintain,TSW,,In Process,32.74275286,-117.1154691,,,9,56,Mid-City:City Heights,,Mobile,,Parking restriction sign leaning over,SS-019560,SS-019560
3295489,,,2021-03-27T16:37:00,0,Other,TSW,2021-03-27T00:00:00,Referred,32.70838,-117.1532528,,,3,4,Downtown,,Mobile,This report has been referred to Field Engineering at engineering@sandiego.gov,Please have this lost construction easel removed,SS-014812,SS-014812
3295490,,,2021-03-27T16:39:00,12,Illegal Dumping,ESD Complaint/Report,,New,32.70834466,-117.1524056,1235 K St,92101,3,4,Downtown,,Mobile,,Needle,SS-014817,SS-014817
3295491,,,2021-03-27T16:40:00,12,Graffiti Removal,TSW,,In Process,32.70832,-117.1532833,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295492,,,2021-03-27T16:40:00,12,Graffiti Removal,TSW,,In Process,32.72239514,-117.1630139,,,3,4,Downtown,,Mobile,,,SS-000063,SS-000063
3295493,,40300397092,2021-03-27T16:41:00,12,Street Light Knock Over/Damage,TSW,,In Process,32.708305,-117.1533278,,,3,4,Downtown,,Mobile,,Wrong size and loose cover,PL-348004,SX-014464-002
3295494,,,2021-03-27T16:42:00,12,Graffiti Removal,TSW,,In Process,32.72418001,-117.1638432,,,3,42,Uptown,,Mobile,,,SS-000026,SS-000026
3295495,,40300397049,2021-03-27T16:43:00,2,Evaluate Tree for Removal/Root Prune,TSW,2021-03-29T00:00:00,Closed,32.70851286,-117.1538934,,,3,4,Downtown,,Mobile,,Please remove this weed before it turns into a full size tree. It was not a deliberate/sanctioned planting.,TR,SS-014815
3295496,,,2021-03-27T16:43:00,3,Missed Collection,ESD Complaint/Report,2021-03-30T00:00:00,Closed,32.71647502,-117.1374255,2627 C St,,3,8,Greater Golden Hill,,Mobile,,Missed collection last week March 22-26 in the alley between c street and Broadway and 26th and 27th street. Both recycling and regular trash was not collected,,
3295497,,,2021-03-27T16:43:00,12,Graffiti Removal,TSW,,In Process,32.72444074,-117.16434,,,3,42,Uptown,,Mobile,,,,
3295498,,,2021-03-27T16:44:00,0,Other,TSW,2021-03-27T00:00:00,Closed,32.738979,-117.1603363,,,3,42,Uptown,,Mobile,,Leaking SDFD hose bib,SS-000158,SS-000158
3295499,3295495,,2021-03-27T16:44:00,2,Trim Tree - Blocking Traffic Device,TSW,2021-03-29T00:00:00,Closed,32.70813935,-117.153789,,,3,4,Downtown,,Mobile,,"Please remove this weed that is basically a tree now. It was not a deliberate/sanctioned planting and it is blocking a critical ""do not enter"" traffic sign",TR-RW-0176490,SS-000355
3295500,,,2021-03-27T16:44:00,12,Graffiti Removal,TSW,,In Process,32.72429871,-117.1642725,,,3,42,Uptown,,Mobile,,,,
3295501,,,2021-03-27T16:45:00,12,Graffiti Removal,TSW,,In Process,32.708295,-117.1534278,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295502,,40300397120,2021-03-27T16:45:00,12,Traffic Sign - Maintain,TSW,,In Process,32.70825833,-117.1534417,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295503,,,2021-03-27T16:46:00,4,Encampment,Neighborhood Policing,2021-03-31T00:00:00,Closed,32.72429309,-117.1638995,1818 First Ave,92101,3,42,Uptown,,Mobile,,,SS-000026,SS-000026
3295504,3295489,,2021-03-27T16:46:00,0,Other,TSW,2021-03-27T00:00:00,Referred,32.70818883,-117.1538144,,,3,4,Downtown,,Mobile,This report has been referred to PW Facilities Maintenance at facilitiesmaint@sandiego.gov,Please dress the dirt so it doesn't erode and make the library look neglected.,SS-000357,SS-000357
3295505,,,2021-03-27T16:46:00,12,Graffiti Removal,TSW,,In Process,32.70820333,-117.1535028,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295506,,,2021-03-27T16:47:00,12,Graffiti Removal,TSW,,In Process,32.70816667,-117.1535555,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295507,,,2021-03-27T16:47:00,3,Waste on Private Property,ESD Complaint/Report,2021-03-30T00:00:00,Closed,32.74903,-117.0950482,"3863 46th St, San Diego, Ca 92105, Usa",,9,56,Mid-City:City Heights,,Mobile,,Mattress and homeless belongings,,
3295508,3295512,,2021-03-27T16:47:00,12,Graffiti Removal,TSW,,In Process,32.70816333,-117.1535722,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295509,,40300397130,2021-03-27T16:47:00,12,Street Light Knock Over/Damage,TSW,,In Process,32.70816167,-117.1535722,,,3,4,Downtown,,Mobile,,Missing cover,PL-348004,SX-014464-002
3295510,3182722,,2021-03-27T16:48:00,12,Traffic Sign - Maintain,TSW,,In Process,32.70813333,-117.1536167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295511,,,2021-03-27T16:48:00,4,Encampment,Neighborhood Policing,2021-03-31T00:00:00,Closed,32.72376154,-117.1630838,137 Elm St,92101,3,42,Uptown,,Mobile,,,SS-000063,SS-000063
3295512,,40300398090,2021-03-27T16:48:00,12,Traffic Sign - Maintain,TSW,,In Process,32.70815333,-117.1536167,,,3,4,Downtown,,Mobile,,Replace damaged/ faded No Parking symbol sign,SS-000357,SS-000357
3295513,,40300397114,2021-03-27T16:48:00,12,Traffic Sign - Maintain,TSW,,In Process,32.70815333,-117.1536167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295514,,,2021-03-27T16:49:00,0,Other,TSW,2021-03-27T00:00:00,Closed,32.708145,-117.153625,,,3,4,Downtown,,Mobile,,Missing top screen. Tailgate Padres Parking Lot,SS-000357,SS-000357
3295515,,,2021-03-27T16:49:00,12,Graffiti Removal,TSW,,In Process,32.70814167,-117.1536167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295516,,,2021-03-27T16:50:00,12,Graffiti Removal - Code Enforcement,TSW,,In Process,32.72224573,-117.1600502,,,3,4,Downtown,,Mobile,,,SS-000191,SS-000191
3295517,,,2021-03-27T16:50:00,3,Graffiti Removal,TSW,2021-03-30T00:00:00,Referred,32.70812,-117.153625,,,3,4,Downtown,,Mobile,This report has been referred to appropriate department or agency at migliaccio@civicsd.com,,SS-000357,SS-000357
3295518,,40300397140,2021-03-27T16:50:00,12,Street Light Out,TSW,,In Process,32.77996666,-117.25213,,,2,18,Mission Beach,,Mobile,,"Lights out all along Bayside Walk at Monterey Ct, Nahant Ct, Nantasket Ct, Niantic Ct and Ormond Ct. Very dark at night along this section of the boardwalk. They have been out for months!  Thank you!",PL-340092,SX-008344-001
3295519,3295489,,2021-03-27T16:50:00,0,Other,TSW,2021-03-27T00:00:00,Referred,32.70813,-117.1536555,,,3,4,Downtown,,Mobile,This report has been referred to Water Repair (PUD) at wcm_gid@sandiego.gov,Missing cap,SS-000357,SS-000357
3295520,3295517,,2021-03-27T16:50:00,0,Graffiti Removal,TSW,2021-03-27T00:00:00,Referred,32.70812,-117.1536555,,,3,4,Downtown,,Mobile,This report has been referred to Water Repair (PUD) at wcm_gid@sandiego.gov,,SS-000357,SS-000357
3295521,,40300398036,2021-03-27T16:50:00,12,Traffic Sign - Maintain,TSW,,In Process,32.72274929,-117.1602715,,,3,4,Downtown,,Mobile,,Replace damaged/ faded No Parking On Bridge sign,SS-000191,SS-000191
3295522,,40300397115,2021-03-27T16:51:00,12,Traffic Sign - Maintain,Traffic Engineering,,In Process,32.70812167,-117.1537333,K St,92101,3,4,Downtown,,Mobile,,Missing no ped xing sign,SS-000357,SS-000357
3295523,,,2021-03-27T16:51:00,12,Missed Collection,ESD Complaint/Report,,In Process,32.7347598,-117.1035176,"4233 Pepper Dr, San Diego, CA 92105, USA",,9,56,Mid-City:City Heights,,Web,,"Normal trash pickup are Fridays. The trash hasn't been picked up on our block as of Saturday, at 4:49 p.m.",,
3295524,,,2021-03-27T16:51:00,12,Graffiti Removal,TSW,,In Process,32.70810333,-117.1537388,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295525,,,2021-03-27T16:52:00,12,Graffiti Removal,TSW,,In Process,32.72609789,-117.1600694,,,3,42,Uptown,,Mobile,,,SS-012556,SS-012556
3295526,,,2021-03-27T16:52:00,12,Graffiti Removal,TSW,,In Process,32.708095,-117.1537028,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295527,,,2021-03-27T16:52:00,0,COVID-19,Special Situation,2021-03-27T00:00:00,Referred,32.58254995,-117.0917706,1929 Avenida Del Mexico,92154,8,25,Otay Mesa-Nestor,,Mobile,This report has been referred to COVID19 at covid19@sandiego.gov,Super spreader covid party no masks or social distancing.,,
3295528,,,2021-03-27T16:53:00,12,Graffiti Removal,TSW,,In Process,32.708095,-117.1537083,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295529,,40300397121,2021-03-27T16:54:00,2,Trim Tree for Peds/Vehicle Clearance,TSW,2021-03-29T00:00:00,Closed,32.75891333,-117.0780112,,,9,38,College Area,,Mobile,,The growth of this tree/bush is in the public alley. It's growing larger and further into the alley access. This is outside the homes property line. Hard to drive through the alley. Should be removed please,TR,SS-004115
3295530,3295526,,2021-03-27T16:54:00,12,Graffiti Removal,TSW,,In Process,32.70807833,-117.1537028,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295531,,,2021-03-27T16:54:00,0,Graffiti Removal,TSW,2021-03-27T00:00:00,Closed,32.70806333,-117.1536945,,,3,4,Downtown,,Mobile,,Tailgate Padres Parking Lot,SS-000357,SS-000357
3295532,,,2021-03-27T16:54:00,12,Graffiti Removal - Code Enforcement,TSW,,In Process,32.72515001,-117.1599322,,,3,42,Uptown,,Mobile,,,SS-011136,SS-011136
3295533,3295531,,2021-03-27T16:55:00,0,Graffiti Removal,TSW,2021-03-27T00:00:00,Closed,32.70804667,-117.1537083,,,3,4,Downtown,,Mobile,,MTS trolley pole,SS-000357,SS-000357
3295534,,,2021-03-27T16:55:00,2,Missed Collection,ESD Complaint/Report,2021-03-29T00:00:00,Closed,32.8186766,-117.2115501,"4215 Moraga Ave, San Diego, CA 92117, USA",,2,6,Clairemont Mesa,,Web,,I called and reported the missed collection and the lady I talked to was very rude and said she was going to email it to her Supervisor and I asked if she would CC me in the email and she said she is not aloud.  In my opinion this is very unprofessional and she should be retrained in customer service.  Please send a truck to dispose of the trash that has already been paid for trash and recycling bins.  Thanks,,
3295535,3295489,,2021-03-27T16:56:00,0,Other,TSW,2021-03-27T00:00:00,Referred,32.70805833,-117.1537028,,,3,4,Downtown,,Mobile,This report has been referred to Metropolitan Transit System at customerfeedback@sdmts.com,High voltage MTS trolley poles too close to vandal access,SS-000357,SS-000357
3295536,,,2021-03-27T16:56:00,3,,Storm Water Code Enforcement,2021-03-31T00:00:00,Closed,32.75105321,-117.105035,"4074 42nd St, San Diego, CA 92105",92105,9,56,Mid-City:City Heights,,Mobile,,,,
3295537,,,2021-03-27T16:56:00,12,Graffiti Removal - Code Enforcement,TSW,,In Process,32.72532399,-117.1595396,,,3,42,Uptown,,Mobile,,,SS-000215,SS-000215
3295538,,,2021-03-27T16:56:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70803333,-117.153725,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295539,,,2021-03-27T16:57:00,0,Shared Mobility Device,ESD Complaint/Report,2021-03-27T00:00:00,Referred,32.80402239,-117.24232,4782 Ingraham St,,2,27,Pacific Beach,,Mobile,This report has been referred to Sweep at sd@sweepcrew.com,The scooters are both blocking sidewalk and Ally,,
3295540,3295541,,2021-03-27T16:57:00,12,Graffiti Removal,TSW,,In Process,32.70802167,-117.1537028,,,3,4,Downtown,,Mobile,,Tailgate Padres Parking Lot,SS-000357,SS-000357
3295541,,,2021-03-27T16:57:00,12,Graffiti Removal,TSW,,In Process,32.70799667,-117.1537167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295542,,,2021-03-27T16:57:00,12,Graffiti Removal - Code Enforcement,TSW,,In Process,32.72410652,-117.1598972,,,3,42,Uptown,,Mobile,,,SS-010246,SS-010246
3295543,,,2021-03-27T16:57:00,12,Graffiti Removal,TSW,,In Process,32.70793833,-117.1537167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295544,2902606,,2021-03-27T16:58:00,12,Street Light on During Day,TSW,,In Process,32.70810171,-117.1538896,,,3,4,Downtown,,Mobile,,,PL-328256,SS-031402-002
3295545,,40300397063,2021-03-27T16:58:00,12,Street Light Knock Over/Damage,TSW,,In Process,32.70791667,-117.153725,,,3,4,Downtown,,Mobile,,Exposed electrical,PL-348004,SX-014464-002
3295546,,,2021-03-27T16:59:00,9,Graffiti Removal,TSW,2021-04-05T00:00:00,Referred,32.70790833,-117.1537083,,,3,4,Downtown,,Mobile,This report has been referred to appropriate department or agency at migliaccio@civicsd.com,,SS-000357,SS-000357
3295547,3295548,,2021-03-27T16:59:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70790833,-117.153725,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,MTS trolley pole,SS-000357,SS-000357
3295548,,,2021-03-27T16:59:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.707895,-117.1537472,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,MTS trolley pole,SS-000357,SS-000357
3295549,,,2021-03-27T17:00:00,12,Graffiti Removal - Code Enforcement,TSW,,In Process,32.72152011,-117.1600427,,,3,4,Downtown,,Mobile,,,SS-000174,SS-000174
3295550,3295583,,2021-03-27T17:00:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70776333,-117.1537945,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295551,,,2021-03-27T17:00:00,2,Graffiti Removal - Code Enforcement,TSW,2021-03-29T00:00:00,Referred,32.72153272,-117.1600434,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,,SS-000174,SS-000174
3295552,,,2021-03-27T17:00:00,12,Graffiti Removal,TSW,,In Process,32.70773,-117.1538,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295553,,,2021-03-27T17:00:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70768667,-117.1538083,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295554,,,2021-03-27T17:01:00,12,Graffiti Removal - Code Enforcement,TSW,,In Process,32.72152588,-117.1601264,,,3,4,Downtown,,Mobile,,,SS-000174,SS-000174
3295555,,,2021-03-27T17:01:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70758833,-117.1538305,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,MTS trolley pole,SS-000357,SS-000357
3295556,,40300397116,2021-03-27T17:02:00,12,Street Light Knock Over/Damage,TSW,,In Process,32.70762,-117.153825,,,3,4,Downtown,,Mobile,,Exposed electrical,PL-352922,SS-000357-004
3295557,,,2021-03-27T17:02:00,12,Graffiti Removal,TSW,,In Process,32.70753,-117.1538167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295558,,,2021-03-27T17:02:00,12,Graffiti Removal,TSW,,In Process,32.70745,-117.1537862,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295559,,,2021-03-27T17:02:00,12,Graffiti Removal,TSW,,In Process,32.71433667,-117.0548555,,,4,11,Encanto Neighborhoods,,Mobile,,,SS-017104,SS-017104
3295560,3295564,,2021-03-27T17:03:00,12,Graffiti Removal,TSW,,In Process,32.70742833,-117.1537555,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295561,,40300397122,2021-03-27T17:03:00,2,Traffic Signal Light Out,TSW,2021-03-29T00:00:00,Closed,32.95918214,-117.2095667,,,1,21,Carmel Valley,,Mobile,,Red hand out Lansdale at Del Mar Heights,SG-200644,SX-001191-005
3295562,,,2021-03-27T17:03:00,12,Graffiti Removal,TSW,,In Process,32.707405,-117.1537333,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295563,3295574,,2021-03-27T17:03:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70738333,-117.1537333,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,MTS trolley pole,SS-000357,SS-000357
3295564,,,2021-03-27T17:04:00,12,Graffiti Removal,TSW,,In Process,32.70733333,-117.1537333,,,3,4,Downtown,,Mobile,,Tailgate Padres Parking Lot,SS-000357,SS-000357
3295565,3295564,,2021-03-27T17:04:00,12,Graffiti Removal,TSW,,In Process,32.70732833,-117.1537333,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295566,,,2021-03-27T17:05:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.707305,-117.1537333,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295567,3295566,,2021-03-27T17:05:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70730333,-117.1537167,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295568,3295556,,2021-03-27T17:05:00,12,Other,TSW,,In Process,32.70731167,-117.1537167,,,3,4,Downtown,,Mobile,,Exposed electrical,SS-000357,SS-000357
3295569,3295571,,2021-03-27T17:05:00,12,Graffiti Removal,TSW,,In Process,32.70731333,-117.1537083,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295570,3295556,,2021-03-27T17:06:00,12,Other,TSW,,In Process,32.70728,-117.1537167,,,3,4,Downtown,,Mobile,,Pedestrian traffic control wires exposed,SS-000357,SS-000357
3295571,,,2021-03-27T17:06:00,12,Graffiti Removal,TSW,,In Process,32.70727167,-117.1537333,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295572,3295564,,2021-03-27T17:07:00,12,Graffiti Removal,TSW,,In Process,32.707275,-117.1537388,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295573,3283512,,2021-03-27T17:07:00,12,Graffiti Removal,TSW,,In Process,32.70725333,-117.1537388,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295574,,,2021-03-27T17:07:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70722167,-117.1537472,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,MTS trolley pole,SS-000357,SS-000357
3295575,3295556,,2021-03-27T17:08:00,12,Other,TSW,,In Process,32.707205,-117.1537472,,,3,4,Downtown,,Mobile,,HIGH VOLTAGE TROLLEY ELECTRICAL EXPOSED,SS-000357,SS-000357
3295576,3295564,,2021-03-27T17:08:00,12,Graffiti Removal,TSW,,In Process,32.70713333,-117.1537778,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295577,3295564,,2021-03-27T17:09:00,12,Graffiti Removal,TSW,,In Process,32.70708333,-117.1537472,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295578,,,2021-03-27T17:09:00,12,Graffiti Removal,TSW,,In Process,32.706995,-117.1537555,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295579,3295562,,2021-03-27T17:09:00,12,Graffiti Removal,TSW,,In Process,32.70691667,-117.1537388,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295580,3295583,,2021-03-27T17:09:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70690333,-117.1537388,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295581,,,2021-03-27T17:10:00,12,Graffiti Removal,TSW,,In Process,32.70685833,-117.1537028,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295582,3295581,,2021-03-27T17:11:00,12,Graffiti Removal,TSW,,In Process,32.70683667,-117.1537167,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295583,,,2021-03-27T17:11:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70676167,-117.1536862,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295584,3295583,,2021-03-27T17:12:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70672167,-117.1536638,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295585,,,2021-03-27T17:12:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70668333,-117.1536472,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295586,,,2021-03-27T17:12:00,12,Graffiti Removal,TSW,,In Process,32.70667833,-117.1536555,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295587,,,2021-03-27T17:13:00,12,Graffiti Removal,TSW,,In Process,32.70655,-117.1535805,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295588,3295587,,2021-03-27T17:13:00,12,Graffiti Removal,TSW,,In Process,32.706555,-117.1535862,,,3,4,Downtown,,Mobile,,,SS-000357,SS-000357
3295589,,,2021-03-27T17:13:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.70651167,-117.1535722,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDMTS at customerfeedback@sdmts.com,,SS-000357,SS-000357
3295590,,40300397124,2021-03-27T17:14:00,12,Pothole,TSW,,In Process,32.78781321,-117.1497026,,,7,35,Serra Mesa,,Mobile,,Unsafe potholes in cul-de-sac,SS-023682-PV1,SS-023682-PV1
3295591,3295586,,2021-03-27T17:14:00,12,Graffiti Removal,TSW,,In Process,32.706495,-117.15355,,,3,4,Downtown,,Mobile,,MTS trolley pole,SS-000357,SS-000357
3295592,,40300397131,2021-03-27T17:14:00,12,Street Light Knock Over/Damage,TSW,,In Process,32.70638333,-117.1534805,,,3,4,Downtown,,Mobile,,Exposed electrical on traffic control pole,PL-348211,SX-014626-003
3295593,3273553,,2021-03-27T17:14:00,12,Encampment,Neighborhood Policing,,In Process,32.71039497,-117.1486597,470 17th St,92101,3,4,Downtown,,Mobile,,Large encampments that are impeding sidewalk access. Individuals participating in illegal drug use and public intoxication,SS-014289,SS-014289
3295594,,,2021-03-27T17:15:00,9,Graffiti Removal,TSW,2021-04-05T00:00:00,Referred,32.70638667,-117.1534722,,,3,4,Downtown,,Mobile,This report has been referred to appropriate department or agency at migliaccio@civicsd.com,,SS-014020,SS-014020
3295595,3282947,,2021-03-27T17:15:00,10,Encampment,Neighborhood Policing,2021-04-06T00:00:00,Closed,32.70834097,-117.1489848,1609 K St,92101,3,4,Downtown,,Mobile,,Large encampments that are impeding sidewalk access. Individuals participating in illegal drug use and public intoxication,SS-014822,SS-014822
3295596,3295594,,2021-03-27T17:15:00,9,Graffiti Removal,TSW,2021-04-05T00:00:00,Referred,32.706405,-117.1534945,,,3,4,Downtown,,Mobile,This report has been referred to appropriate department or agency at migliaccio@civicsd.com,Tailgate Padres Parking Lot,SS-014020,SS-014020
